Entity,Code,Year,Censorship of LGBT+ issues (historical)
Afghanistan,AFG,2021,Imprisonment as punishment
Afghanistan,AFG,2022,Imprisonment as punishment
Afghanistan,AFG,2023,Imprisonment as punishment
Afghanistan,AFG,2024,Imprisonment as punishment
Afghanistan,AFG,2025,Imprisonment as punishment
Albania,ALB,2025,No censorship
Algeria,DZA,1982,Imprisonment as punishment
Algeria,DZA,1983,Imprisonment as punishment
Algeria,DZA,1984,Imprisonment as punishment
Algeria,DZA,1985,Imprisonment as punishment
Algeria,DZA,1986,Imprisonment as punishment
Algeria,DZA,1987,Imprisonment as punishment
Algeria,DZA,1988,Imprisonment as punishment
Algeria,DZA,1989,Imprisonment as punishment
Algeria,DZA,1990,Imprisonment as punishment
Algeria,DZA,1991,Imprisonment as punishment
Algeria,DZA,1992,Imprisonment as punishment
Algeria,DZA,1993,Imprisonment as punishment
Algeria,DZA,1994,Imprisonment as punishment
Algeria,DZA,1995,Imprisonment as punishment
Algeria,DZA,1996,Imprisonment as punishment
Algeria,DZA,1997,Imprisonment as punishment
Algeria,DZA,1998,Imprisonment as punishment
Algeria,DZA,1999,Imprisonment as punishment
Algeria,DZA,2000,Imprisonment as punishment
Algeria,DZA,2001,Imprisonment as punishment
Algeria,DZA,2002,Imprisonment as punishment
Algeria,DZA,2003,Imprisonment as punishment
Algeria,DZA,2004,Imprisonment as punishment
Algeria,DZA,2005,Imprisonment as punishment
Algeria,DZA,2006,Imprisonment as punishment
Algeria,DZA,2007,Imprisonment as punishment
Algeria,DZA,2008,Imprisonment as punishment
Algeria,DZA,2009,Imprisonment as punishment
Algeria,DZA,2010,Imprisonment as punishment
Algeria,DZA,2011,Imprisonment as punishment
Algeria,DZA,2012,Imprisonment as punishment
Algeria,DZA,2013,Imprisonment as punishment
Algeria,DZA,2014,Imprisonment as punishment
Algeria,DZA,2015,Imprisonment as punishment
Algeria,DZA,2016,Imprisonment as punishment
Algeria,DZA,2017,Imprisonment as punishment
Algeria,DZA,2018,Imprisonment as punishment
Algeria,DZA,2019,Imprisonment as punishment
Algeria,DZA,2020,Imprisonment as punishment
Algeria,DZA,2021,Imprisonment as punishment
Algeria,DZA,2022,Imprisonment as punishment
Algeria,DZA,2023,Imprisonment as punishment
Algeria,DZA,2024,Imprisonment as punishment
Algeria,DZA,2025,Imprisonment as punishment
Andorra,AND,2025,No censorship
Angola,AGO,2025,No censorship
Antigua and Barbuda,ATG,2025,No censorship
Argentina,ARG,2025,No censorship
Armenia,ARM,2025,No censorship
Australia,AUS,1990,Varies by region
Australia,AUS,1991,Varies by region
Australia,AUS,1992,Varies by region
Australia,AUS,1993,Varies by region
Australia,AUS,1994,Varies by region
Australia,AUS,1995,Varies by region
Australia,AUS,1996,Varies by region
Australia,AUS,1997,Varies by region
Australia,AUS,1998,Varies by region
Australia,AUS,1999,Varies by region
Australia,AUS,2000,Varies by region
Australia,AUS,2001,Varies by region
Australia,AUS,2002,No censorship
Australia,AUS,2003,No censorship
Australia,AUS,2004,No censorship
Australia,AUS,2005,No censorship
Australia,AUS,2006,No censorship
Australia,AUS,2007,No censorship
Australia,AUS,2008,No censorship
Australia,AUS,2009,No censorship
Australia,AUS,2010,No censorship
Australia,AUS,2011,No censorship
Australia,AUS,2012,No censorship
Australia,AUS,2013,No censorship
Australia,AUS,2014,No censorship
Australia,AUS,2015,No censorship
Australia,AUS,2016,No censorship
Australia,AUS,2017,No censorship
Australia,AUS,2018,No censorship
Australia,AUS,2019,No censorship
Australia,AUS,2020,No censorship
Australia,AUS,2021,No censorship
Australia,AUS,2022,No censorship
Australia,AUS,2023,No censorship
Australia,AUS,2024,No censorship
Australia,AUS,2025,No censorship
Austria,AUT,1971,State-enforced
Austria,AUT,1972,State-enforced
Austria,AUT,1973,State-enforced
Austria,AUT,1974,State-enforced
Austria,AUT,1975,State-enforced
Austria,AUT,1976,State-enforced
Austria,AUT,1977,State-enforced
Austria,AUT,1978,State-enforced
Austria,AUT,1979,State-enforced
Austria,AUT,1980,State-enforced
Austria,AUT,1981,State-enforced
Austria,AUT,1982,State-enforced
Austria,AUT,1983,State-enforced
Austria,AUT,1984,State-enforced
Austria,AUT,1985,State-enforced
Austria,AUT,1986,State-enforced
Austria,AUT,1987,State-enforced
Austria,AUT,1988,State-enforced
Austria,AUT,1989,State-enforced
Austria,AUT,1990,State-enforced
Austria,AUT,1991,State-enforced
Austria,AUT,1992,State-enforced
Austria,AUT,1993,State-enforced
Austria,AUT,1994,State-enforced
Austria,AUT,1995,State-enforced
Austria,AUT,1996,State-enforced
Austria,AUT,1997,State-enforced
Austria,AUT,1998,No censorship
Austria,AUT,1999,No censorship
Austria,AUT,2000,No censorship
Austria,AUT,2001,No censorship
Austria,AUT,2002,No censorship
Austria,AUT,2003,No censorship
Austria,AUT,2004,No censorship
Austria,AUT,2005,No censorship
Austria,AUT,2006,No censorship
Austria,AUT,2007,No censorship
Austria,AUT,2008,No censorship
Austria,AUT,2009,No censorship
Austria,AUT,2010,No censorship
Austria,AUT,2011,No censorship
Austria,AUT,2012,No censorship
Austria,AUT,2013,No censorship
Austria,AUT,2014,No censorship
Austria,AUT,2015,No censorship
Austria,AUT,2016,No censorship
Austria,AUT,2017,No censorship
Austria,AUT,2018,No censorship
Austria,AUT,2019,No censorship
Austria,AUT,2020,No censorship
Austria,AUT,2021,No censorship
Austria,AUT,2022,No censorship
Austria,AUT,2023,No censorship
Austria,AUT,2024,No censorship
Austria,AUT,2025,No censorship
Azerbaijan,AZE,2017,State-enforced
Azerbaijan,AZE,2018,State-enforced
Azerbaijan,AZE,2019,State-enforced
Azerbaijan,AZE,2020,State-enforced
Azerbaijan,AZE,2021,State-enforced
Azerbaijan,AZE,2022,State-enforced
Azerbaijan,AZE,2023,State-enforced
Azerbaijan,AZE,2024,State-enforced
Azerbaijan,AZE,2025,State-enforced
Bahamas,BHS,2025,No censorship
Bahrain,BHR,1976,Imprisonment as punishment
Bahrain,BHR,1977,Imprisonment as punishment
Bahrain,BHR,1978,Imprisonment as punishment
Bahrain,BHR,1979,Imprisonment as punishment
Bahrain,BHR,1980,Imprisonment as punishment
Bahrain,BHR,1981,Imprisonment as punishment
Bahrain,BHR,1982,Imprisonment as punishment
Bahrain,BHR,1983,Imprisonment as punishment
Bahrain,BHR,1984,Imprisonment as punishment
Bahrain,BHR,1985,Imprisonment as punishment
Bahrain,BHR,1986,Imprisonment as punishment
Bahrain,BHR,1987,Imprisonment as punishment
Bahrain,BHR,1988,Imprisonment as punishment
Bahrain,BHR,1989,Imprisonment as punishment
Bahrain,BHR,1990,Imprisonment as punishment
Bahrain,BHR,1991,Imprisonment as punishment
Bahrain,BHR,1992,Imprisonment as punishment
Bahrain,BHR,1993,Imprisonment as punishment
Bahrain,BHR,1994,Imprisonment as punishment
Bahrain,BHR,1995,Imprisonment as punishment
Bahrain,BHR,1996,Imprisonment as punishment
Bahrain,BHR,1997,Imprisonment as punishment
Bahrain,BHR,1998,Imprisonment as punishment
Bahrain,BHR,1999,Imprisonment as punishment
Bahrain,BHR,2000,Imprisonment as punishment
Bahrain,BHR,2001,Imprisonment as punishment
Bahrain,BHR,2002,Imprisonment as punishment
Bahrain,BHR,2003,Imprisonment as punishment
Bahrain,BHR,2004,Imprisonment as punishment
Bahrain,BHR,2005,Imprisonment as punishment
Bahrain,BHR,2006,Imprisonment as punishment
Bahrain,BHR,2007,Imprisonment as punishment
Bahrain,BHR,2008,Imprisonment as punishment
Bahrain,BHR,2009,Imprisonment as punishment
Bahrain,BHR,2010,Imprisonment as punishment
Bahrain,BHR,2011,Imprisonment as punishment
Bahrain,BHR,2012,Imprisonment as punishment
Bahrain,BHR,2013,Imprisonment as punishment
Bahrain,BHR,2014,Imprisonment as punishment
Bahrain,BHR,2015,Imprisonment as punishment
Bahrain,BHR,2016,Imprisonment as punishment
Bahrain,BHR,2017,Imprisonment as punishment
Bahrain,BHR,2018,Imprisonment as punishment
Bahrain,BHR,2019,Imprisonment as punishment
Bahrain,BHR,2020,Imprisonment as punishment
Bahrain,BHR,2021,Imprisonment as punishment
Bahrain,BHR,2022,Imprisonment as punishment
Bahrain,BHR,2023,Imprisonment as punishment
Bahrain,BHR,2024,Imprisonment as punishment
Bahrain,BHR,2025,Imprisonment as punishment
Bangladesh,BGD,2025,State-enforced
Barbados,BRB,2025,No censorship
Belarus,BLR,1994,Imprisonment as punishment
Belarus,BLR,1995,Imprisonment as punishment
Belarus,BLR,1996,Imprisonment as punishment
Belarus,BLR,1997,Imprisonment as punishment
Belarus,BLR,1998,Imprisonment as punishment
Belarus,BLR,1999,Imprisonment as punishment
Belarus,BLR,2000,Imprisonment as punishment
Belarus,BLR,2001,Imprisonment as punishment
Belarus,BLR,2002,Imprisonment as punishment
Belarus,BLR,2003,Imprisonment as punishment
Belarus,BLR,2004,Imprisonment as punishment
Belarus,BLR,2005,Imprisonment as punishment
Belarus,BLR,2006,Imprisonment as punishment
Belarus,BLR,2007,Imprisonment as punishment
Belarus,BLR,2008,Imprisonment as punishment
Belarus,BLR,2009,Imprisonment as punishment
Belarus,BLR,2010,Imprisonment as punishment
Belarus,BLR,2011,Imprisonment as punishment
Belarus,BLR,2012,Imprisonment as punishment
Belarus,BLR,2013,Imprisonment as punishment
Belarus,BLR,2014,Imprisonment as punishment
Belarus,BLR,2015,Imprisonment as punishment
Belarus,BLR,2016,State-enforced
Belarus,BLR,2017,State-enforced
Belarus,BLR,2018,State-enforced
Belarus,BLR,2019,State-enforced
Belarus,BLR,2020,Imprisonment as punishment
Belarus,BLR,2021,Imprisonment as punishment
Belarus,BLR,2022,Imprisonment as punishment
Belarus,BLR,2023,Imprisonment as punishment
Belarus,BLR,2024,Imprisonment as punishment
Belarus,BLR,2025,Imprisonment as punishment
Belgium,BEL,2025,No censorship
Belize,BLZ,2025,No censorship
Benin,BEN,2025,No censorship
Bhutan,BTN,2025,No censorship
Bolivia,BOL,2025,No censorship
Bosnia and Herzegovina,BIH,2025,No censorship
Botswana,BWA,2025,No censorship
Brazil,BRA,1988,No censorship
Brazil,BRA,1989,No censorship
Brazil,BRA,1990,No censorship
Brazil,BRA,1991,No censorship
Brazil,BRA,1992,No censorship
Brazil,BRA,1993,No censorship
Brazil,BRA,1994,No censorship
Brazil,BRA,1995,No censorship
Brazil,BRA,1996,No censorship
Brazil,BRA,1997,No censorship
Brazil,BRA,1998,No censorship
Brazil,BRA,1999,No censorship
Brazil,BRA,2000,No censorship
Brazil,BRA,2001,No censorship
Brazil,BRA,2002,No censorship
Brazil,BRA,2003,No censorship
Brazil,BRA,2004,No censorship
Brazil,BRA,2005,No censorship
Brazil,BRA,2006,No censorship
Brazil,BRA,2007,No censorship
Brazil,BRA,2008,No censorship
Brazil,BRA,2009,No censorship
Brazil,BRA,2010,No censorship
Brazil,BRA,2011,No censorship
Brazil,BRA,2012,No censorship
Brazil,BRA,2013,No censorship
Brazil,BRA,2014,Varies by region
Brazil,BRA,2015,Varies by region
Brazil,BRA,2016,Varies by region
Brazil,BRA,2017,Varies by region
Brazil,BRA,2018,Varies by region
Brazil,BRA,2019,Varies by region
Brazil,BRA,2020,Varies by region
Brazil,BRA,2021,Varies by region
Brazil,BRA,2022,Varies by region
Brazil,BRA,2023,Varies by region
Brazil,BRA,2024,Varies by region
Brazil,BRA,2025,Varies by region
Brunei,BRN,2025,Other punishment
Bulgaria,BGR,1990,No censorship
Bulgaria,BGR,1991,No censorship
Bulgaria,BGR,1992,No censorship
Bulgaria,BGR,1993,No censorship
Bulgaria,BGR,1994,No censorship
Bulgaria,BGR,1995,No censorship
Bulgaria,BGR,1996,No censorship
Bulgaria,BGR,1997,No censorship
Bulgaria,BGR,1998,No censorship
Bulgaria,BGR,1999,No censorship
Bulgaria,BGR,2000,No censorship
Bulgaria,BGR,2001,No censorship
Bulgaria,BGR,2002,No censorship
Bulgaria,BGR,2003,No censorship
Bulgaria,BGR,2004,No censorship
Bulgaria,BGR,2005,No censorship
Bulgaria,BGR,2006,No censorship
Bulgaria,BGR,2007,No censorship
Bulgaria,BGR,2008,No censorship
Bulgaria,BGR,2009,No censorship
Bulgaria,BGR,2010,No censorship
Bulgaria,BGR,2011,No censorship
Bulgaria,BGR,2012,No censorship
Bulgaria,BGR,2013,No censorship
Bulgaria,BGR,2014,No censorship
Bulgaria,BGR,2015,No censorship
Bulgaria,BGR,2016,No censorship
Bulgaria,BGR,2017,No censorship
Bulgaria,BGR,2018,No censorship
Bulgaria,BGR,2019,No censorship
Bulgaria,BGR,2020,No censorship
Bulgaria,BGR,2021,No censorship
Bulgaria,BGR,2022,No censorship
Bulgaria,BGR,2023,No censorship
Bulgaria,BGR,2024,State-enforced
Bulgaria,BGR,2025,State-enforced
Burkina Faso,BFA,2023,State-enforced
Burkina Faso,BFA,2024,State-enforced
Burkina Faso,BFA,2025,State-enforced
Burundi,BDI,2009,Fine as punishment
Burundi,BDI,2010,Fine as punishment
Burundi,BDI,2011,Fine as punishment
Burundi,BDI,2012,Fine as punishment
Burundi,BDI,2013,Fine as punishment
Burundi,BDI,2014,Fine as punishment
Burundi,BDI,2015,Fine as punishment
Burundi,BDI,2016,Fine as punishment
Burundi,BDI,2017,Fine as punishment
Burundi,BDI,2018,Fine as punishment
Burundi,BDI,2019,Fine as punishment
Burundi,BDI,2020,Fine as punishment
Burundi,BDI,2021,Fine as punishment
Burundi,BDI,2022,Fine as punishment
Burundi,BDI,2023,Fine as punishment
Burundi,BDI,2024,Fine as punishment
Burundi,BDI,2025,Fine as punishment
Cambodia,KHM,2025,No censorship
Cameroon,CMR,2010,Imprisonment as punishment
Cameroon,CMR,2011,Imprisonment as punishment
Cameroon,CMR,2012,Imprisonment as punishment
Cameroon,CMR,2013,Imprisonment as punishment
Cameroon,CMR,2014,Imprisonment as punishment
Cameroon,CMR,2015,Imprisonment as punishment
Cameroon,CMR,2016,Imprisonment as punishment
Cameroon,CMR,2017,Imprisonment as punishment
Cameroon,CMR,2018,Imprisonment as punishment
Cameroon,CMR,2019,Imprisonment as punishment
Cameroon,CMR,2020,Imprisonment as punishment
Cameroon,CMR,2021,Imprisonment as punishment
Cameroon,CMR,2022,Imprisonment as punishment
Cameroon,CMR,2023,Imprisonment as punishment
Cameroon,CMR,2024,Imprisonment as punishment
Cameroon,CMR,2025,Imprisonment as punishment
Canada,CAN,2025,No censorship
Cape Verde,CPV,2025,No censorship
Central African Republic,CAF,2009,Imprisonment as punishment
Central African Republic,CAF,2010,Imprisonment as punishment
Central African Republic,CAF,2011,Imprisonment as punishment
Central African Republic,CAF,2012,Imprisonment as punishment
Central African Republic,CAF,2013,Imprisonment as punishment
Central African Republic,CAF,2014,Imprisonment as punishment
Central African Republic,CAF,2015,Imprisonment as punishment
Central African Republic,CAF,2016,Imprisonment as punishment
Central African Republic,CAF,2017,No censorship
Central African Republic,CAF,2018,No censorship
Central African Republic,CAF,2019,No censorship
Central African Republic,CAF,2020,No censorship
Central African Republic,CAF,2021,No censorship
Central African Republic,CAF,2022,No censorship
Central African Republic,CAF,2023,No censorship
Central African Republic,CAF,2024,No censorship
Central African Republic,CAF,2025,No censorship
Chad,TCD,2025,No censorship
Chile,CHL,2025,No censorship
China,CHN,2025,State-enforced
Colombia,COL,2025,No censorship
Comoros,COM,2025,No censorship
Congo,COG,2025,No censorship
Costa Rica,CRI,2025,No censorship
Cote d'Ivoire,CIV,1981,Imprisonment as punishment
Cote d'Ivoire,CIV,1982,Imprisonment as punishment
Cote d'Ivoire,CIV,1983,Imprisonment as punishment
Cote d'Ivoire,CIV,1984,Imprisonment as punishment
Cote d'Ivoire,CIV,1985,Imprisonment as punishment
Cote d'Ivoire,CIV,1986,Imprisonment as punishment
Cote d'Ivoire,CIV,1987,Imprisonment as punishment
Cote d'Ivoire,CIV,1988,Imprisonment as punishment
Cote d'Ivoire,CIV,1989,Imprisonment as punishment
Cote d'Ivoire,CIV,1990,Imprisonment as punishment
Cote d'Ivoire,CIV,1991,Imprisonment as punishment
Cote d'Ivoire,CIV,1992,Imprisonment as punishment
Cote d'Ivoire,CIV,1993,Imprisonment as punishment
Cote d'Ivoire,CIV,1994,Imprisonment as punishment
Cote d'Ivoire,CIV,1995,Imprisonment as punishment
Cote d'Ivoire,CIV,1996,Imprisonment as punishment
Cote d'Ivoire,CIV,1997,Imprisonment as punishment
Cote d'Ivoire,CIV,1998,Imprisonment as punishment
Cote d'Ivoire,CIV,1999,Imprisonment as punishment
Cote d'Ivoire,CIV,2000,Imprisonment as punishment
Cote d'Ivoire,CIV,2001,Imprisonment as punishment
Cote d'Ivoire,CIV,2002,Imprisonment as punishment
Cote d'Ivoire,CIV,2003,Imprisonment as punishment
Cote d'Ivoire,CIV,2004,Imprisonment as punishment
Cote d'Ivoire,CIV,2005,Imprisonment as punishment
Cote d'Ivoire,CIV,2006,Imprisonment as punishment
Cote d'Ivoire,CIV,2007,Imprisonment as punishment
Cote d'Ivoire,CIV,2008,Imprisonment as punishment
Cote d'Ivoire,CIV,2009,Imprisonment as punishment
Cote d'Ivoire,CIV,2010,Imprisonment as punishment
Cote d'Ivoire,CIV,2011,Imprisonment as punishment
Cote d'Ivoire,CIV,2012,Imprisonment as punishment
Cote d'Ivoire,CIV,2013,Imprisonment as punishment
Cote d'Ivoire,CIV,2014,Imprisonment as punishment
Cote d'Ivoire,CIV,2015,Imprisonment as punishment
Cote d'Ivoire,CIV,2016,Imprisonment as punishment
Cote d'Ivoire,CIV,2017,Imprisonment as punishment
Cote d'Ivoire,CIV,2018,Imprisonment as punishment
Cote d'Ivoire,CIV,2019,Ambiguous
Cote d'Ivoire,CIV,2020,Ambiguous
Cote d'Ivoire,CIV,2021,Ambiguous
Cote d'Ivoire,CIV,2022,Ambiguous
Cote d'Ivoire,CIV,2023,Ambiguous
Cote d'Ivoire,CIV,2024,Ambiguous
Cote d'Ivoire,CIV,2025,Ambiguous
Croatia,HRV,2025,No censorship
Cuba,CUB,2025,No censorship
Cyprus,CYP,2025,No censorship
Czechia,CZE,2025,No censorship
Democratic Republic of Congo,COD,2025,Ambiguous
Denmark,DNK,2025,No censorship
Djibouti,DJI,2025,State-enforced
Dominica,DMA,2025,No censorship
Dominican Republic,DOM,2025,No censorship
East Timor,TLS,2025,No censorship
Ecuador,ECU,2025,No censorship
Egypt,EGY,2025,Imprisonment as punishment
El Salvador,SLV,2024,State-enforced
El Salvador,SLV,2025,State-enforced
Equatorial Guinea,GNQ,2025,No censorship
Eritrea,ERI,2025,Imprisonment as punishment
Estonia,EST,2025,No censorship
Eswatini,SWZ,2025,No censorship
Ethiopia,ETH,2025,State-enforced
Fiji,FJI,2025,No censorship
Finland,FIN,1950,Imprisonment as punishment
Finland,FIN,1951,Imprisonment as punishment
Finland,FIN,1952,Imprisonment as punishment
Finland,FIN,1953,Imprisonment as punishment
Finland,FIN,1954,Imprisonment as punishment
Finland,FIN,1955,Imprisonment as punishment
Finland,FIN,1956,Imprisonment as punishment
Finland,FIN,1957,Imprisonment as punishment
Finland,FIN,1958,Imprisonment as punishment
Finland,FIN,1959,Imprisonment as punishment
Finland,FIN,1960,Imprisonment as punishment
Finland,FIN,1961,Imprisonment as punishment
Finland,FIN,1962,Imprisonment as punishment
Finland,FIN,1963,Imprisonment as punishment
Finland,FIN,1964,Imprisonment as punishment
Finland,FIN,1965,Imprisonment as punishment
Finland,FIN,1966,Imprisonment as punishment
Finland,FIN,1967,Imprisonment as punishment
Finland,FIN,1968,Imprisonment as punishment
Finland,FIN,1969,Imprisonment as punishment
Finland,FIN,1970,Imprisonment as punishment
Finland,FIN,1971,Imprisonment as punishment
Finland,FIN,1972,Imprisonment as punishment
Finland,FIN,1973,Imprisonment as punishment
Finland,FIN,1974,Imprisonment as punishment
Finland,FIN,1975,Imprisonment as punishment
Finland,FIN,1976,Imprisonment as punishment
Finland,FIN,1977,Imprisonment as punishment
Finland,FIN,1978,Imprisonment as punishment
Finland,FIN,1979,Imprisonment as punishment
Finland,FIN,1980,Imprisonment as punishment
Finland,FIN,1981,Imprisonment as punishment
Finland,FIN,1982,Imprisonment as punishment
Finland,FIN,1983,Imprisonment as punishment
Finland,FIN,1984,Imprisonment as punishment
Finland,FIN,1985,Imprisonment as punishment
Finland,FIN,1986,Imprisonment as punishment
Finland,FIN,1987,Imprisonment as punishment
Finland,FIN,1988,Imprisonment as punishment
Finland,FIN,1989,Imprisonment as punishment
Finland,FIN,1990,Imprisonment as punishment
Finland,FIN,1991,Imprisonment as punishment
Finland,FIN,1992,Imprisonment as punishment
Finland,FIN,1993,Imprisonment as punishment
Finland,FIN,1994,No censorship
Finland,FIN,1995,No censorship
Finland,FIN,1996,No censorship
Finland,FIN,1997,No censorship
Finland,FIN,1998,No censorship
Finland,FIN,1999,No censorship
Finland,FIN,2000,No censorship
Finland,FIN,2001,No censorship
Finland,FIN,2002,No censorship
Finland,FIN,2003,No censorship
Finland,FIN,2004,No censorship
Finland,FIN,2005,No censorship
Finland,FIN,2006,No censorship
Finland,FIN,2007,No censorship
Finland,FIN,2008,No censorship
Finland,FIN,2009,No censorship
Finland,FIN,2010,No censorship
Finland,FIN,2011,No censorship
Finland,FIN,2012,No censorship
Finland,FIN,2013,No censorship
Finland,FIN,2014,No censorship
Finland,FIN,2015,No censorship
Finland,FIN,2016,No censorship
Finland,FIN,2017,No censorship
Finland,FIN,2018,No censorship
Finland,FIN,2019,No censorship
Finland,FIN,2020,No censorship
Finland,FIN,2021,No censorship
Finland,FIN,2022,No censorship
Finland,FIN,2023,No censorship
Finland,FIN,2024,No censorship
Finland,FIN,2025,No censorship
France,FRA,1960,Imprisonment as punishment
France,FRA,1961,Imprisonment as punishment
France,FRA,1962,Imprisonment as punishment
France,FRA,1963,Imprisonment as punishment
France,FRA,1964,Imprisonment as punishment
France,FRA,1965,Imprisonment as punishment
France,FRA,1966,Imprisonment as punishment
France,FRA,1967,Imprisonment as punishment
France,FRA,1968,Imprisonment as punishment
France,FRA,1969,Imprisonment as punishment
France,FRA,1970,Imprisonment as punishment
France,FRA,1971,Imprisonment as punishment
France,FRA,1972,Imprisonment as punishment
France,FRA,1973,Imprisonment as punishment
France,FRA,1974,Imprisonment as punishment
France,FRA,1975,Imprisonment as punishment
France,FRA,1976,Imprisonment as punishment
France,FRA,1977,Imprisonment as punishment
France,FRA,1978,Imprisonment as punishment
France,FRA,1979,Imprisonment as punishment
France,FRA,1980,No censorship
France,FRA,1981,No censorship
France,FRA,1982,No censorship
France,FRA,1983,No censorship
France,FRA,1984,No censorship
France,FRA,1985,No censorship
France,FRA,1986,No censorship
France,FRA,1987,No censorship
France,FRA,1988,No censorship
France,FRA,1989,No censorship
France,FRA,1990,No censorship
France,FRA,1991,No censorship
France,FRA,1992,No censorship
France,FRA,1993,No censorship
France,FRA,1994,No censorship
France,FRA,1995,No censorship
France,FRA,1996,No censorship
France,FRA,1997,No censorship
France,FRA,1998,No censorship
France,FRA,1999,No censorship
France,FRA,2000,No censorship
France,FRA,2001,No censorship
France,FRA,2002,No censorship
France,FRA,2003,No censorship
France,FRA,2004,No censorship
France,FRA,2005,No censorship
France,FRA,2006,No censorship
France,FRA,2007,No censorship
France,FRA,2008,No censorship
France,FRA,2009,No censorship
France,FRA,2010,No censorship
France,FRA,2011,No censorship
France,FRA,2012,No censorship
France,FRA,2013,No censorship
France,FRA,2014,No censorship
France,FRA,2015,No censorship
France,FRA,2016,No censorship
France,FRA,2017,No censorship
France,FRA,2018,No censorship
France,FRA,2019,No censorship
France,FRA,2020,No censorship
France,FRA,2021,No censorship
France,FRA,2022,No censorship
France,FRA,2023,No censorship
France,FRA,2024,No censorship
France,FRA,2025,No censorship
Gabon,GAB,2025,No censorship
Gambia,GMB,2025,No censorship
Georgia,GEO,2024,State-enforced
Georgia,GEO,2025,State-enforced
Germany,DEU,2025,No censorship
Ghana,GHA,2025,No censorship
Greece,GRC,2016,No censorship
Greece,GRC,2017,No censorship
Greece,GRC,2018,No censorship
Greece,GRC,2019,No censorship
Greece,GRC,2020,No censorship
Greece,GRC,2021,No censorship
Greece,GRC,2022,No censorship
Greece,GRC,2023,No censorship
Greece,GRC,2024,No censorship
Greece,GRC,2025,No censorship
Grenada,GRD,2025,No censorship
Guatemala,GTM,2025,No censorship
Guinea,GIN,2025,No censorship
Guinea-Bissau,GNB,2025,No censorship
Guyana,GUY,2025,No censorship
Haiti,HTI,2025,No censorship
Honduras,HND,2025,No censorship
Hungary,HUN,2021,Fine as punishment
Hungary,HUN,2022,Fine as punishment
Hungary,HUN,2023,Fine as punishment
Hungary,HUN,2024,Fine as punishment
Hungary,HUN,2025,Fine as punishment
Iceland,ISL,2025,No censorship
India,IND,2025,No censorship
Indonesia,IDN,2025,State-enforced
Iran,IRN,2013,Other punishment
Iran,IRN,2014,Other punishment
Iran,IRN,2015,Other punishment
Iran,IRN,2016,Other punishment
Iran,IRN,2017,Other punishment
Iran,IRN,2018,Other punishment
Iran,IRN,2019,Other punishment
Iran,IRN,2020,Other punishment
Iran,IRN,2021,Other punishment
Iran,IRN,2022,Other punishment
Iran,IRN,2023,Other punishment
Iran,IRN,2024,Other punishment
Iran,IRN,2025,Other punishment
Iraq,IRQ,2025,Imprisonment as punishment
Ireland,IRL,2025,No censorship
Israel,ISR,2025,No censorship
Italy,ITA,2025,No censorship
Jamaica,JAM,2025,No censorship
Japan,JPN,2025,No censorship
Jordan,JOR,2025,Imprisonment as punishment
Kazakhstan,KAZ,2022,State-enforced
Kazakhstan,KAZ,2023,State-enforced
Kazakhstan,KAZ,2024,State-enforced
Kazakhstan,KAZ,2025,State-enforced
Kenya,KEN,2012,State-enforced
Kenya,KEN,2013,State-enforced
Kenya,KEN,2014,State-enforced
Kenya,KEN,2015,State-enforced
Kenya,KEN,2016,State-enforced
Kenya,KEN,2017,State-enforced
Kenya,KEN,2018,State-enforced
Kenya,KEN,2019,State-enforced
Kenya,KEN,2020,State-enforced
Kenya,KEN,2021,State-enforced
Kenya,KEN,2022,State-enforced
Kenya,KEN,2023,State-enforced
Kenya,KEN,2024,State-enforced
Kenya,KEN,2025,State-enforced
Kiribati,KIR,2025,No censorship
Kuwait,KWT,2022,State-enforced
Kuwait,KWT,2023,State-enforced
Kuwait,KWT,2024,State-enforced
Kuwait,KWT,2025,State-enforced
Kyrgyzstan,KGZ,2023,State-enforced
Kyrgyzstan,KGZ,2024,State-enforced
Kyrgyzstan,KGZ,2025,State-enforced
Laos,LAO,2025,No censorship
Latvia,LVA,2025,No censorship
