company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
Rabobank,Netherlands,Europe & Central Asia,Banks,Private,2024,12.4,24,0,0,0,2.0,0,0.0,2,1,1,0,0,0,0,0.0,0,2,1,1.0,1,1.0,0.0
Rakuten,Japan,East Asia & Pacific,Retail,Public,2023,11.3,22,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,1.0,2,1.0,0.0
Ralph Lauren,United States,North America,Apparel & Footwear,Public,2023,16.7,32,1,2,0,2.0,0,0.0,2,1,0,0,0,0,1,0.0,1,1,1,1.0,2,1.0,0.0
Ramco Cements,India,South Asia,Construction Materials & Supplies,Public,2024,6.5,13,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.0
Raymond James Financial,United States,North America,Traditional Asset Managers,Public,2024,9.3,18,0,0,0,1.0,0,0.0,1,1,0,0,0,1,0,0.0,0,1,0,0.5,1,1.0,0.0
RCL Foods,South Africa,Sub-Saharan Africa,Food Production,Public,2023,7.1,14,0,1,0,0.0,0,0.0,0,2,0,0,0,0,0,0.0,0,1,0,0.5,0,1.0,0.0
Reckitt,United Kingdom,Europe & Central Asia,Personal & Household Products,Public,2024,18.1,35,1,1,2,2.0,0,0.0,1,2,1,0,0,0,1,2.0,0,1,0,1.0,2,1.0,0.0
Red Chamber,United States,North America,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Regents of the University of California,United States,North America,Pension Funds,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Reliance Industries,India,South Asia,Conglomerates,Public,2023,10.7,21,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,2.0,1,1,0,1.0,2,1.0,0.0
Reliance Steel & Aluminum,United States,North America,Metals & Mining,Public,2023,5.8,11,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.0
REMONDIS,Germany,Europe & Central Asia,Waste Management,Private,2024,2.9,6,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
Renaissance Technologies,United States,North America,Alternative Asset Managers,Private,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Renault,France,Europe & Central Asia,Motor Vehicles & Parts,Public,2024,11.8,23,1,0,1,2.0,0,0.0,0,2,0,0,0,0,0,0.0,0,1,0,1.0,1,1.0,0.0
Renfe Operadora,Spain,Europe & Central Asia,Passenger Transport,Government,2024,3.1,6,0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0.0,0,1,0,0.0,1,0.0,0.0
Repsol,Spain,Europe & Central Asia,Oil & Gas,Public,2023,15.7,30,1,1,1,2.0,0,0.5,0,0,1,0,0,0,0,1.0,1,2,0,1.0,2,1.0,0.0
Republic Services,United States,North America,Waste Management,Public,2024,6.9,13,0,1,0,2.0,0,0.0,1,0,1,0,0,1,0,0.0,0,0,0,0.0,0,1.0,0.0
Resona Holdings,Japan,East Asia & Pacific,Banks,Public,2024,9.4,18,1,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,1,2,0,1.0,0,1.0,0.0
Restaurant Brands International,Canada,North America,Food Retailers,Public,2023,15.3,29,0,1,0,2.0,0,0.0,0,0,0,0,0,1,0,2.0,0,0,0,2.0,2,1.0,0.0
Rewe Group,Germany,Europe & Central Asia,Food Retailers,Private,2023,18.0,34,1,1,0,2.0,0,0.0,1,2,2,0,0,0,0,0.0,2,1,1,1.0,2,1.0,0.0
Rio Tinto,United Kingdom,Europe & Central Asia,Metals & Mining,Public,2023,15.2,29,0,1,1,2.0,1,0.0,1,1,1,0,0,0,0,4.0,0,2,0,1.0,1,1.0,0.0
Roche,Switzerland,Europe & Central Asia,Pharmaceuticals & Biotechnology,Public,2023,14.9,28,1,0,1,1.0,0,0.0,2,0,0,0,0,0,0,0.0,2,2,0,1.0,2,1.0,0.0
Rogers,Canada,North America,Telecommunications,Public,2023,11.8,23,0,1,0,2.0,0,1.0,1,2,0,0,0,1,0,0.0,0,1,0,0.0,2,1.0,0.0
Rongsheng Petro Chemical,China,East Asia & Pacific,Chemicals,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Roquette,France,Europe & Central Asia,Food Production,Private,2023,10.0,19,0,1,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Rosneft,Russian Federation,Europe & Central Asia,Oil & Gas,Public,2023,10.5,20,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,1,1.5,1,1.0,0.0
Ross Stores,United States,North America,Apparel & Footwear,Public,2023,5.8,11,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,2,1.0,0.0
Rosseti,Russian Federation,Europe & Central Asia,Utilities,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Russian Railways,Russian Federation,Europe & Central Asia,Passenger Transport,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Rostelecom,Russian Federation,Europe & Central Asia,Telecommunications,Public,2023,5.4,10,0,1,0,1.0,0,0.0,0,0,1,0,0,0,0,1.0,0,1,0,0.0,0,1.0,0.0
Royal Bank of Canada,Canada,North America,Banks,Public,2024,17.8,34,1,1,0,1.0,0,0.0,0,2,2,0,0,1,0,0.0,1,0,0,2.0,1,1.0,0.0
NatWest Group,United Kingdom,Europe & Central Asia,Banks,Public,2024,21.8,42,0,1,1,2.0,0,0.0,3,0,0,0,0,1,0,0.0,1,2,2,2.0,1,1.0,0.0
Shell,Netherlands,Europe & Central Asia,Oil & Gas,Public,2023,14.0,27,1,1,0,2.0,0,0.0,1,0,2,0,0,0,0,1.0,0,2,0,1.0,2,1.0,0.0
Royal London Group,United Kingdom,Europe & Central Asia,Insurance,Private,2024,10.3,20,1,1,0,0.0,0,0.0,2,2,0,0,0,0,0,2.0,1,1,1,0.0,1,0.0,0.0
International Distributions Services,United Kingdom,Europe & Central Asia,Postal & Courier Activities,Public,2024,7.1,14,0,0,0,2.0,0,0.0,0,1,0,0,0,0,0,0.0,1,1,0,1.0,1,0.0,0.0
Russell Investments,United States,North America,Investment Consultants,Private,2024,5.8,11,0,0,0,0.0,0,0.0,0,2,0,0,0,1,0,0.0,1,0,0,0.0,0,1.0,0.0
RWE,Germany,Europe & Central Asia,Utilities,Public,2023,10.5,20,1,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,1,2,0,1.0,1,1.0,0.0
Ryanair Holdings,Ireland,Europe & Central Asia,Passenger Transport,Public,2024,2.2,4,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
Ryder System,United States,North America,Motor Vehicles & Parts,Public,2024,13.3,25,0,0,0,2.0,0,0.0,0,1,1,0,0,2,0,1.0,0,0,0,1.5,1,1.0,0.0
S.F. Holding,China,East Asia & Pacific,Postal & Courier Activities,Public,2024,4.0,8,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,2,0,0.5,0,0.0,0.0
Safaricom,Kenya,Sub-Saharan Africa,Telecommunications,Public,2023,17.3,33,1,0,0,1.0,0,0.0,2,2,1,0,0,2,0,0.0,2,1,0,1.0,2,1.0,0.0
SAIC Motor,China,East Asia & Pacific,Motor Vehicles & Parts,Public,2024,3.3,6,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.5,0,0.0,0.0
Sainsbury's,United Kingdom,Europe & Central Asia,Food Retailers,Public,2023,10.8,21,1,1,1,2.0,0,0.0,2,0,0,0,0,0,0,2.0,0,2,0,0.0,2,0.0,0.0
Saint-Gobain,France,Europe & Central Asia,Construction Materials & Supplies,Public,2024,13.6,26,1,1,1,2.0,0,0.0,1,0,1,0,0,0,0,1.0,0,0,0,1.0,2,1.0,0.0
Salesforce,United States,North America,IT Software & Services,Public,2023,10.0,19,1,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1.0,1,1.0,0.0
Salling Group,Denmark,Europe & Central Asia,Food Retailers,Private,2023,4.0,8,0,1,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0.0
Salvatore Ferragamo,Italy,Europe & Central Asia,Apparel & Footwear,Public,2023,12.3,24,1,0,0,2.0,0,0.5,2,0,1,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Salzgitter,Germany,Europe & Central Asia,Metals & Mining,Public,2024,8.6,16,0,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,1.5,0,1.0,0.0
SAMA,Saudi Arabia,Middle East & North Africa,Sovereign Wealth Funds,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Samruk-Kazyna,Kazakhstan,Europe & Central Asia,Sovereign Wealth Funds,Government,2024,10.9,21,1,1,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,1.5,0,1.0,0.0
Samsung,"Korea, Rep.",East Asia & Pacific,Electronics,Public,2023,18.2,35,1,0,0,2.0,1,0.0,0,1,1,0,0,0,0,0.0,1,2,0,2.0,2,1.0,0.0
San Miguel,Philippines,East Asia & Pacific,Food Production,Public,2023,6.9,13,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
Wayne-Sanderson Farms,United States,North America,Food Production,Private,2023,1.4,3,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Sanlam,South Africa,Sub-Saharan Africa,Insurance,Public,2024,6.4,12,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,0,1.0,0,1.0,0.0
Sanofi,France,Europe & Central Asia,Pharmaceuticals & Biotechnology,Public,2023,16.9,32,1,0,0,2.0,0,0.0,3,2,0,0,0,2,0,2.0,0,1,0,1.0,2,1.0,0.0
Santos,Australia,East Asia & Pacific,Oil & Gas,Public,2023,14.0,27,0,0,0,2.0,1,0.0,0,2,3,0,0,0,0,0.0,1,1,0,1.5,0,1.0,0.0
SAP,Germany,Europe & Central Asia,IT Software & Services,Public,2023,13.1,25,1,1,0,2.0,0,0.0,1,0,0,0,0,1,1,0.0,0,1,0,1.0,2,1.0,0.0
Sappi,South Africa,Sub-Saharan Africa,Paper & Forest Products,Public,2023,9.3,18,0,1,0,2.0,0,0.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,2,1.0,0.0
Saputo,Canada,North America,Food Production,Public,2023,10.0,19,0,0,0,1.0,0,0.5,1,1,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Saras,Italy,Europe & Central Asia,Oil & Gas,Public,2023,11.5,22,0,1,0,0.0,0,0.0,1,0,1,0,0,0,0,0.0,0,1,0,1.0,2,1.0,1.0
Sasol,South Africa,Sub-Saharan Africa,Oil & Gas,Public,2023,14.3,27,1,1,0,2.0,0,0.0,1,1,0,0,1,1,0,0.0,0,1,0,1.0,2,1.0,0.0
Saudi Aramco,Saudi Arabia,Middle East & North Africa,Oil & Gas,Public,2023,8.0,15,0,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Saudi Electricity Company,Saudi Arabia,Middle East & North Africa,Utilities,Public,2023,0.7,1,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
STC,Saudi Arabia,Middle East & North Africa,Telecommunications,Public,2023,11.6,22,1,0,0,0.0,0,0.0,0,1,1,0,0,0,0,0.0,1,0,0,1.5,1,1.0,0.0
Saur,France,Europe & Central Asia,Utilities,Private,2024,5.8,11,0,1,0,2.0,0,0.0,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
Savencia,France,Europe & Central Asia,Food Production,Public,2023,4.9,9,0,1,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Savola Group,Saudi Arabia,Middle East & North Africa,Food Retailers,Public,2023,8.7,17,0,0,0,2.0,0,0.0,0,1,0,0,0,0,0,0.0,1,2,0,1.0,0,1.0,0.0
Sberbank,Russian Federation,Europe & Central Asia,Banks,Public,2024,10.5,20,0,0,0,2.0,0,0.0,0,1,1,0,0,0,0,0.0,1,2,0,1.0,1,1.0,0.0
SC Johnson,United States,North America,Personal & Household Products,Private,2024,5.5,10,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,2,0,0,1.0,1,0.0,0.0
Schneider Electric,France,Europe & Central Asia,Capital Goods,Public,2023,19.8,38,1,1,0,2.0,0,0.0,2,1,2,0,0,1,0,1.0,1,2,0,1.5,2,1.0,0.0
BioMar,Denmark,Europe & Central Asia,Food Production,Private,2023,11.6,22,1,1,0,2.0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Schroders,United Kingdom,Europe & Central Asia,Traditional Asset Managers,Public,2024,11.3,22,0,1,0,2.0,0,0.0,1,0,1,0,0,0,0,0.0,2,0,0,1.0,1,1.0,0.0
Schwarz Group,Germany,Europe & Central Asia,Food Retailers,Private,2023,10.9,21,0,0,0,2.0,0,0.0,1,0,1,0,0,0,0,0.0,1,2,1,1.0,2,0.0,0.0
SCR Sibelco,Belgium,Europe & Central Asia,Metals & Mining,Public,2024,7.6,15,0,1,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
Seagate,Ireland,Europe & Central Asia,Electronics,Public,2023,13.1,25,0,0,0,2.0,0,1.0,0,1,1,0,0,0,0,0.0,0,0,0,1.5,2,1.0,0.0
SEI Investments,United States,North America,Traditional Asset Managers,Public,2024,11.5,22,0,0,0,1.0,0,0.0,0,2,0,0,0,0,0,0.0,2,1,0,1.0,0,1.0,0.0
Sekisui House,Japan,East Asia & Pacific,Real Estate,Public,2024,12.5,24,1,1,0,0.0,0,0.0,0,1,2,0,0,0,0,1.0,2,2,0,1.0,0,1.0,0.0
SIG,Indonesia,East Asia & Pacific,Construction Materials & Supplies,Public,2024,8.2,16,0,0,0,2.0,0,0.0,0,0,1,0,0,0,0,1.0,0,0,0,1.0,1,1.0,0.0
Sempra Energy,United States,North America,Utilities,Public,2024,14.0,27,0,0,0,2.0,0,0.0,0,1,2,0,0,2,0,0.0,1,1,0,1.5,0,1.0,0.0
Sequoia Capital,United States,North America,Alternative Asset Managers,Private,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SES,Luxembourg,Europe & Central Asia,Telecommunications,Public,2023,7.4,14,0,1,0,2.0,0,0.0,1,1,0,0,0,0,0,0.0,1,1,0,0.0,0,1.0,0.0
Seven & I Holdings,Japan,East Asia & Pacific,Food Retailers,Public,2023,18.2,35,0,1,0,1.0,0,0.0,0,0,1,0,1,0,0,0.0,2,2,2,1.5,2,1.0,0.0
Severstal,Russian Federation,Europe & Central Asia,Metals & Mining,Public,2023,5.8,11,0,0,0,0.0,0,0.0,0,2,0,0,0,0,0,0.0,1,0,0,1.0,1,0.0,0.0
SG Holdings,Japan,East Asia & Pacific,Postal & Courier Activities,Public,2024,10.7,21,0,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,2,1,0,1.5,0,1.0,0.0
Yanchang Petroleum Group ,China,East Asia & Pacific,Oil & Gas,Public,2023,0.7,1,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shandong Bohi,China,East Asia & Pacific,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shandong Iron & Steel Group,China,East Asia & Pacific,Metals & Mining,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shanghai Construction Group,China,East Asia & Pacific,Real Estate,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shanghai Pudong Development Bank,China,East Asia & Pacific,Banks,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shanghai Zijiang Enterprise Group ,China,East Asia & Pacific,Containers & Packaging,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shengjing Bank,China,East Asia & Pacific,Banks,Public,2024,2.9,6,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
ShenZhen YUTO Packaging Technology,China,East Asia & Pacific,Containers & Packaging,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shenzhou International,China,East Asia & Pacific,Apparel & Footwear,Public,2023,4.9,9,0,0,0,0.0,0,1.0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Shimizu Corporation,Japan,East Asia & Pacific,Real Estate,Public,2024,12.7,24,1,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,1,2,0,1.5,1,1.0,0.0
Shin-Etsu Chemical,Japan,East Asia & Pacific,Chemicals,Public,2023,3.4,7,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,1.0,1,0,0,0.0,1,0.0,0.0
Shinhan Financial Group,"Korea, Rep.",East Asia & Pacific,Banks,Public,2024,15.4,29,1,1,1,2.0,0,0.0,0,2,1,0,0,0,0,1.0,2,2,0,1.0,0,1.0,0.0
Shinkin Central Bank,Japan,East Asia & Pacific,Banks,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Shiseido Company,Japan,East Asia & Pacific,Personal & Household Products,Public,2024,20.5,39,1,1,1,1.0,0,1.0,2,2,0,0,0,0,0,1.0,2,2,1,0.5,2,1.0,0.0
Shoprite Holdings,South Africa,Sub-Saharan Africa,Food Retailers,Public,2023,5.1,10,0,0,0,1.0,0,0.0,0,0,0,0,0,2,0,0.0,0,0,0,0.5,0,0.0,0.0
Shougang,China,East Asia & Pacific,Metals & Mining,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Showa Denko,Japan,East Asia & Pacific,Chemicals,Public,2023,1.1,2,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0.0
Shree Cement,India,South Asia,Construction Materials & Supplies,Public,2024,6.9,13,0,0,0,0.0,0,0.5,0,0,1,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.5
Siam Cement,Thailand,East Asia & Pacific,Construction Materials & Supplies,Public,2023,16.0,31,0,1,1,1.0,1,0.0,0,0,2,0,0,0,0,0.0,2,2,0,1.5,1,1.0,0.0
Siam City Cement,Thailand,East Asia & Pacific,Construction Materials & Supplies,Public,2024,5.8,11,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.0
Siam Commercial Bank,Thailand,East Asia & Pacific,Banks,Public,2024,10.5,20,0,0,0,2.0,0,0.0,1,0,1,0,0,0,0,0.0,0,0,0,1.5,1,1.0,0.0
Sime Darby Plantation,Malaysia,East Asia & Pacific,Agricultural Products,Public,2023,8.5,16,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0.0,1,1,0,0.0,1,1.0,0.0
Simon Property Group,United States,North America,Real Estate,Public,2024,5.8,11,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0,2,0,0.0,1,1.0,0.0
Weibo,China,East Asia & Pacific,IT Software & Services,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Singapore Airlines,Singapore,East Asia & Pacific,Passenger Transport,Public,2024,7.8,15,0,0,0,2.0,0,0.0,0,0,2,0,0,0,0,1.0,0,2,0,0.5,1,0.0,0.0
Singtel,Singapore,East Asia & Pacific,Telecommunications,Public,2023,18.9,36,1,1,0,2.0,0,0.0,1,0,2,0,0,0,2,1.0,1,2,0,2.0,2,1.0,0.0
Sinochem,China,East Asia & Pacific,Oil & Gas,Government,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Sinotrans,China,East Asia & Pacific,Postal & Courier Activities,Public,2024,2.9,6,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
SEB Group,Sweden,Europe & Central Asia,Banks,Public,2024,5.6,11,0,0,0,1.0,0,0.0,2,0,1,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Skanska,Sweden,Europe & Central Asia,Real Estate,Public,2024,6.9,13,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
Skechers,United States,North America,Apparel & Footwear,Public,2023,9.5,18,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1.5,2,0.5,0.0
Smurfit Kappa Group,Ireland,Europe & Central Asia,Containers & Packaging,Public,2023,11.6,22,1,0,0,2.0,0,0.0,1,2,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Snap,United States,North America,IT Software & Services,Public,2023,16.6,32,0,0,0,2.0,0,0.0,1,0,1,0,0,0,0,2.0,1,1,0,2.0,2,1.0,0.0
SNCF Group,France,Europe & Central Asia,Passenger Transport,Government,2024,9.0,17,0,1,1,0.5,0,1.0,1,0,0,0,0,0,0,0.0,1,2,0,0.0,0,1.0,0.0
SQM,Chile,Latin America & Caribbean,Chemicals,Public,2023,11.3,22,1,1,0,0.0,0,0.0,0,2,3,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
Societe Generale,France,Europe & Central Asia,Banks,Public,2024,14.5,28,1,1,0,2.0,0,0.0,2,2,2,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
Sodexo,France,Europe & Central Asia,Food Retailers,Public,2023,20.3,39,1,1,0,2.0,0,0.5,4,0,0,0,0,2,0,0.0,1,2,0,1.5,2,1.0,0.0
Sodiaal,France,Europe & Central Asia,Food Production,Private,2023,6.9,13,0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,1,1.0,0.0
SoftBank,Japan,East Asia & Pacific,Telecommunications,Public,2023,10.0,19,0,1,0,2.0,0,0.0,0,1,0,0,0,0,0,1.0,2,2,0,0.0,1,1.0,0.0
Solvay,Belgium,Europe & Central Asia,Chemicals,Public,2023,12.2,23,1,0,0,0.0,0,0.5,1,2,1,0,0,0,0,2.0,0,1,0,1.0,1,1.0,0.0
Sonatrach,Algeria,Middle East & North Africa,Oil & Gas,Government,2023,2.2,4,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
SONY,Japan,East Asia & Pacific,Electronics,Public,2023,23.9,46,1,1,1,2.0,0,1.0,1,1,1,0,0,0,1,1.0,2,2,0,2.0,2,1.0,0.0
South32,Australia,East Asia & Pacific,Metals & Mining,Public,2024,10.0,19,0,1,0,2.0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Southern Co,United States,North America,Utilities,Public,2023,10.9,21,0,0,0,2.0,0,0.0,0,0,1,0,0,1,1,0.0,1,1,0,1.0,1,1.0,0.0
Southern States Cooperative,United States,North America,Chemicals,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Southwest Airlines,United States,North America,Passenger Transport,Public,2024,13.7,26,0,0,0,0.0,0,0.0,0,1,2,0,0,1,0,2.0,1,1,0,1.5,0,1.0,0.5
Souyute Group,China,East Asia & Pacific,Apparel & Footwear,Public,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SpaceX,United States,North America,Telecommunications,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Spark New Zealand,New Zealand,East Asia & Pacific,Telecommunications,Public,2023,16.7,32,0,1,0,1.0,0,1.0,3,0,1,0,0,0,2,4.0,0,1,0,1.5,2,0.0,0.0
Helaba,Germany,Europe & Central Asia,Banks,Government,2024,6.2,12,0,1,0,2.0,0,0.0,0,1,0,0,0,0,0,0.0,0,2,0,1.0,0,0.0,0.0
SPML Infra,India,South Asia,Construction & Engineering,Public,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Spotify,Sweden,Europe & Central Asia,Entertainment,Public,2023,13.6,26,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,2.0,2,1.0,0.0
SSE,United Kingdom,Europe & Central Asia,Utilities,Public,2023,14.5,28,1,1,0,2.0,0,0.0,1,0,0,0,0,0,0,1.0,1,1,1,1.0,2,1.0,0.0
SSP Group,United Kingdom,Europe & Central Asia,Food Retailers,Public,2023,8.2,16,0,1,0,1.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,1.0,1,1.0,0.0
Standard Bank,South Africa,Sub-Saharan Africa,Banks,Public,2024,13.2,25,1,1,0,2.0,0,0.0,2,1,2,0,0,0,0,0.0,1,1,0,1.0,0,1.0,0.0
Standard Chartered,United Kingdom,Europe & Central Asia,Banks,Public,2024,16.0,31,1,1,0,1.0,0,0.0,1,0,2,0,0,1,0,2.0,0,2,0,1.5,1,1.0,0.0
abrdn,United Kingdom,Europe & Central Asia,Traditional Asset Managers,Public,2024,9.4,18,1,1,0,2.0,0,0.0,1,1,0,0,0,0,0,0.0,0,0,0,1.0,0,1.0,0.0
Stantec,Canada,North America,Construction & Engineering,Public,2024,13.1,25,0,0,0,0.5,0,0.0,2,1,1,0,0,1,2,0.0,1,1,0,1.0,1,1.0,0.0
Starbucks,United States,North America,Food Retailers,Public,2023,12.0,23,0,0,0,2.0,0,0.0,3,1,0,0,0,0,0,0.0,0,0,0,1.5,1,1.0,0.0
Starzen,Japan,East Asia & Pacific,Food Production,Public,2023,5.1,10,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,1,2,0,0.0,0,1.0,0.0
State Bank of India,India,South Asia,Banks,Public,2024,7.8,15,0,0,0,1.0,0,0.0,0,2,1,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0.0
State Farm Insurance,United States,North America,Insurance,Private,2024,7.6,15,0,0,0,2.0,0,0.0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,0,1.0,0.0
State Grid Corporation of China,China,East Asia & Pacific,Utilities,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
