company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
AMP,Australia,East Asia & Pacific,Banks,Public,2024,12.0,23,0,0,0,2.0,0,0.0,3,0,1,0,0,0,0,0.0,0,2,0,1.0,2,1.0,0.0
Amphenol,United States,North America,Electronics,Public,2023,6.5,13,0,0,0,1.0,0,0.0,0,2,0,0,0,0,0,0.0,0,0,0,1.0,1,0.5,0.0
Amul,India,South Asia,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
ANA Holdings,Japan,East Asia & Pacific,Passenger Transport,Public,2024,15.6,30,1,1,0,1.0,0,0.0,0,1,0,0,0,0,0,0.0,2,2,0,1.5,2,1.0,0.0
Analog Devices,United States,North America,Electronics,Public,2023,10.9,21,0,1,0,2.0,0,1.0,0,1,0,0,0,0,0,0.0,1,2,0,1.0,2,0.0,0.0
Andreessen Horowitz,United States,North America,Alternative Asset Managers,Private,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Anglo American,United Kingdom,Europe & Central Asia,Metals & Mining,Public,2023,13.4,26,1,1,0,2.0,1,0.0,0,2,0,0,0,0,0,0.0,0,2,0,1.0,2,1.0,0.0
Anheuser-Busch InBev,Belgium,Europe & Central Asia,Food Production,Public,2023,16.3,31,1,0,0,2.0,0,0.0,0,2,0,0,1,1,0,2.0,0,0,0,1.5,1,1.0,0.5
Anhui Conch Cement,China,East Asia & Pacific,Construction Materials & Supplies,Public,2023,0.7,1,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Anima Holding,Italy,Europe & Central Asia,Traditional Asset Managers,Public,2024,12.3,24,1,0,0,2.0,0,0.0,2,1,1,0,0,0,0,0.0,1,2,0,1.0,0,1.0,0.0
Ansteel,China,East Asia & Pacific,Metals & Mining,Government,2024,2.2,4,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
ANTA,China,East Asia & Pacific,Apparel & Footwear,Private,2023,9.1,17,0,1,0,1.0,0,0.5,1,0,1,0,0,0,0,0.0,1,0,0,0.5,0,1.0,0.0
ANZ Banking Group,Australia,East Asia & Pacific,Banks,Public,2024,14.7,28,1,1,0,1.0,0,0.0,1,0,1,0,0,1,0,1.0,0,2,0,1.5,1,1.0,0.0
Aon,United Kingdom,Europe & Central Asia,Investment Consultants,Public,2024,11.8,23,0,0,0,2.0,0,0.0,3,0,0,0,0,1,0,0.0,0,1,0,1.0,2,1.0,0.0
APA Corporation,United States,North America,Oil & Gas,Public,2023,11.5,22,0,0,0,2.0,0,0.0,0,1,0,0,0,1,0,0.0,0,1,0,1.5,1,1.0,0.0
Apax Partners,United Kingdom,Europe & Central Asia,Alternative Asset Managers,Private,2024,2.9,6,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
APG,Netherlands,Europe & Central Asia,Pension Funds,Private,2024,8.7,17,0,1,0,2.0,1,0.0,2,0,0,0,0,0,0,0.0,1,2,0,0.0,0,1.0,0.0
Apollo Global Management,United States,North America,Traditional Asset Managers,Public,2024,11.1,21,0,0,0,2.0,0,0.0,0,2,0,0,0,1,0,0.0,1,1,0,0.5,1,1.0,0.0
Apple,United States,North America,Electronics,Public,2023,18.7,36,0,0,0,2.0,0,0.0,2,0,0,0,1,1,0,0.0,2,1,0,2.0,2,1.0,0.0
Applied Materials,United States,North America,Electronics,Public,2023,15.4,30,0,1,0,2.0,0,1.0,1,1,0,0,0,1,0,0.0,1,1,0,1.5,1,1.0,0.0
Aramark,United States,North America,Food Retailers,Public,2023,11.8,23,0,0,0,2.0,0,0.0,1,2,0,0,0,1,0,0.0,1,1,0,1.0,2,0.5,0.0
Arbejdsmarkedets Tillaegspension,Denmark,Europe & Central Asia,Pension Funds,Government,2024,2.9,6,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0
ArcelorMittal,Luxembourg,Europe & Central Asia,Metals & Mining,Public,2023,10.5,20,1,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.5
ADM,United States,North America,Food Production,Public,2023,12.0,23,0,1,0,2.0,0,1.0,0,1,0,0,0,1,0,0.0,0,0,0,1.0,2,1.0,0.0
Arconic,United States,North America,Metals & Mining,Private,2024,11.2,22,1,0,0,2.0,0,0.0,0,0,1,0,0,1,0,0.0,0,0,0,1.0,2,1.0,0.0
Ardagh Group,Luxembourg,Europe & Central Asia,Containers & Packaging,Public,2023,6.6,13,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
Arkema,France,Europe & Central Asia,Chemicals,Public,2023,15.5,30,0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,0.0,1,1,1,2.0,2,1.0,0.0
Arla Foods,Denmark,Europe & Central Asia,Food Production,Private,2023,11.2,21,1,1,0,2.0,0,0.0,0,0,0,0,0,0,0,2.0,1,0,0,1.0,1,1.0,0.0
Artisan Partners,United States,North America,Traditional Asset Managers,Public,2024,10.4,20,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,1,1,0,1.0,0,1.0,0.0
Asahi Group,Japan,East Asia & Pacific,Food Production,Public,2023,11.4,22,1,1,0,1.0,0,0.0,0,1,1,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
Asahi Kasei Corporation,Japan,East Asia & Pacific,Chemicals,Public,2023,8.0,15,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0.0,1,2,0,1.0,0,1.0,0.0
Ascena Retail Group,United States,North America,Apparel & Footwear,Private,2023,6.5,13,1,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,2,0.0,0.0
Asia Cement,"Taiwan, China",East Asia & Pacific,Construction Materials & Supplies,Public,2024,8.4,16,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,2,0,0,1.0,1,1.0,0.0
